PMID,AbstractText
1133452,"In congenital blindness, the absence of vision can be compensated for by the utilization of the tactile and auditory senses, resulting in normal affect and ego development. Some of the major problems in the way of such compensation were noted. Adventitious blindness produces disruption of ego functions, with severe affect manifestations, notably grief and mourning reactions and actual dependency. The factors favoring successful or unsuccessful resolution of mourning and restoration of normal ego functions were indicated."
1133453,"Comparisons of the nests of associations within which a single memory reappeared during the course of an analysis deemed successful by analysis and patient revealed changes in content and structure of these matrices. Judges, given a sample of associations surrounding a reappearance, were able to relate a particular appearance to its sequential location in the development and flow of an analysis. In the study samples, the patient became increasingly active and insightful as the analysis progressed. Resistance decreased, and the memory, initially given as a narrative report, became a powerful metaphor for the examination of conflicts concerning aggression and its defense, passivity. The results of the judges' analyses and of the thematic analysis suggest that a close examination of associations surrounding a repeated stimulus, a single memory, can be used as an index of analytic progress."
1133454,We have described some of the problems encountered in an analyzability committee's evolving approach to the assessment of applicants to a psychoanalytic clinic. A primary error was to think in terms of the level of drive development--equating pathology at an oedipal level with analyzability. Recognition that the more important issue for assessment purposes was the presence or absence of those ego capacities and personality characteristics necessary for success in analysis has led to a reorientation of our approach.
1133455,"The relative iron, copper and mercury contents of individual, isolated erythrocytes from eight people were determined by analytical electron microscopy. The variation in iron content between erythrocytes of the same sample is more than six times, for copper content more than tem times and for mercury more than five times. Similar variations were observed for 1-day-old chick defintive erythrocytes and for 4-day-old chick embryo primitive erythrocytes. The range of variation does not depend greatly, it at all, on the age of the erythroyctes or the tissue of origin. There is little or no correlation between the variation of iron contnet and that of copper. The cause of the wide variation of metallic ion contnt among erythroyctes is not yet known."
1133526,"A technique of hypophysectomy and regimes of pre- and post-operative care were developed for the tammar wallaby, Macropus eugenii, to a stage when animals can survive the operation with little apparent stress. Thyroid and adrenal gland weights declined after hypophysectomy, especially within the first 20-30 days. Changes in the adrenal cortex after hypophysectomy suggested that this region may have a zonal organization different from that in eutherian mammals. The reproductive tracts of males and females lost weight rapidly after hypophysectomy. Eleven plasma parameters were studied for the effects of hypophysectomy. There was a reduction in sodium and chloride and a tendency to higher potassium levels, reflecting inadequate adrenal cortical function. Calcium and total protein values remained unaffected, but inorganic phosphate, glucose and cholesterol were depleted, and a less significant depletion in blood urea, nitrogen and uric acid was evident."
1133529,"Intact, breeding female budgerigars enter and occupy a nestbox 8-10 days before egg-laying. Ovariectomized budgerigars did not enter nestboxes. Oestradiol-17 beta monobenzoate (OB) (0-05 mg, i.m.) induced ovariectomized birds to enter nestboxes. Higher dosages (0-1 or 0-5 mg) did not facilitate this effect. The amount of time spent in nesting behaviour by all OB-treated groups did not differ from that shown by a group of intact females during the initial phase of the nesting sequence (first 4 days in the nestbox), but was significantly less than that of intact females undergoing later stages of nesting behaviour (4 days before and after laying the first egg). Oestradiol induced a increase in oviduct weight and size which was dose-dependent. With a low dose (0-05 mg OB), the oviducts were slightly larger than those of intact females which had been in the nestbox 1-2 days. With higher dose levels (0-1-0-5 mg OB), precursor albumen granules had formed in tubular glands of the magnum, a stage more typical of females which had been in the nestbox 4-6 days. The results indicate that low levels of oestrogen induce female budgerigars to enter nestboxes and initiate oviduct development. Subsequent phases of the nesting behaviour and oviduct development may be causally related to other hormones."
1133534,"Photorefractory intact female canaries were exposed to a photoperiod of 8 h light: 16 h darkness (8L: 16D) for 0, 2, 4 or 6 weeks before photostimulation with 14L: 10D for 4 weeks. Photoresponsiveness was measured in terms of plasma immunoreactive LH, ovary and oviduct weights, follicle size and nest-building behaviour. Birds not exposed to 8L: 16D were unresponsive to photostimulation while those exposed for 6 weeks to 8L: 16D were as fully photosensitive as females similarly treated immediately before their first breeding season. Birds exposed for 2 or 4 weeks to 8L: 16D responded to subsequent photostimulation but were not as responsive as birds exposed to short days for 6 weeks. Positive correlations between the two ovarian parameters and between these ovarian parameters and oviductal weight existed in all groups exposed to short days, but not in birds not exposed to short days. It is concluded that the restoration of photosensitivity at the end of the refractory period is a function of the number of short days experienced; about 6 weeks of short days are needed for its completion. In another experiment photorefractory birds exposed for 6 weeks to short days without subsequent photostimulation, although potentially photosensitive, were indistinguishable (in terms of the above parameters) from refractory birds kept on long days for the same period; in these birds refractoriness was not broken."
1133539,"The effect of alpha-MSH on sebum secretion and preputial gland weight was examined in intact, castrated and hypophysectomized male rats and in hypophysectomized rats receiving treatment with either testosterone propionate (TP) or progesterone. After treatment with alpha-MSH for 2 weeks, increases in sebum secretion occurred in intact, castrated and hypophysectomized rats, but larger responses were found in the hypophysectomized rats that had received treatment with either TP or progesterone, suggesting that alpha-MSH acts synergistically with TP and progesterone to stimulate sebum secretion. Alpha-Melanocyte-stimulating hormone also increased preputial gland weight in intact rats, but there was no response after castration and only a small response after hypophysectomy. However, when the hypophysectomized rats received simultaneous treatment with either TP or progesterone, alpha-MSH increased preputial gland weight. It is suggested that alpha-MSH acts directly on the sebaceous glands to stimulate lipogenesis and, together with steroid hormones, may have an important role in controlling sebaceous glandd function in the rat and other hairy mammals. With the evolution of hair, certain of the MSH peptides may have lost their significance as pigmentary hormones and have developed a sebotrophic function. For this reason, it might be more appropriate to refer to these peptides as the 'sebotrophins'."
1133540,"The concentration of LH in the plasma of guinea-pigs from day 50 of gestation to day 45 of postnatal life was assayed by radioimmunoassay utilizing a cross-reaction with anti-ovine LH antiserum. The effect of gonadectomy in infancy and in the adult upon the plasma concentration of LH was also studied. The LH concentration in the plasma of male or female foetuses was high immediately prenatally and fell at birth. High levels of LH were again detected in male, with a lesser increase in female, guinea-pigs over the first 10 days postnatally. Maternal plasma concentrations of LH remained consistently low. Removal of the gonads on days 0, 5, 10, 15, 25 or 35 of postnatal life, followed by blood collection at autopsy 10 days later, caused a significant rise in plasma LH content at all ages. The rise in plasma LH after gonadectomy in adults was less marked in male than in female guinea-pigs."
1133541,"Binding of 5alpha-androstane-3alpha, 17 beta-diol (3alpha-diol) and 5alpha-androstane-3beta,-17 beta-diol (3beta-diol) in vivo and in vitro to the 100 000 g cytosol fraction of the rat prostate and seminal vesicles as well as to plasma was studied by agargel electrophoresis and sucrose density gradient ultracentrifugation and the results compared with the corresponding findings for 5alpha-dihydrotestosterone (5alpha-DHT). The metabolism of 3alpha-diol and 3beta-diol was also investigated by thin-layer chromatography. The following results were obtained: (1) A specific binding of 3alpha-diol and 3beta-diol by the cytosols could not be demonstrated in vitro, while 5alpha-DHT was specifically bound. (2) In plasma, 3alpha-diol was extensively bound, 3beta-diol less extensively bound, while 5alpha-DHT remained unbound. (3) After intravenous injection of 3alpha-diol, specifically bound radioactivity, increasing within 30 min, was found in the prostate cytosol, while after 3beta-diol injection no binding occurred. (4) Parallel to the increased binding, the total radioactivity in the prostate accumulated within 30 min after 3alpha-diol injection, the uptake being 5-3 times higher than in skeletal muscle. However after 3beta-diol injection, total radioactivity decreased in the prostate within 30 min, the uptake being only 1-5 times higher than in skeletal muscle. (5) One minute after injection of 3alpha-diol, 53% of the extracted radioactivity in the prostate had been converted to 5alpha-DHT, this increased within 30 min to 81%. Thirty minutes after the injection of 3beta-diol, about 32% of the extracted radioactivity in the prostate had been converted to 5alpha-DHT. (6) From the in-vivo and in-vitro experiments it was concluded that 3alpha-diol exerts its biological effects mainly by its conversion into 5alpha-DHT."
