Title,Journal,PMID,Year,x,y,Labels,Colors
Reflections on the special senses in relation to the development of affect with special emphasis on blindness.,Journal of the American Psychoanalytic Association,1133452,1975.0,25.885,-156.884,unlabeled,#D3D3D3
Tracing a memory.,Journal of the American Psychoanalytic Association,1133453,1975.0,55.512,-170.332,unlabeled,#D3D3D3
Some pitfalls in the assessment of analyzability in a psychoanalytic clinic.,Journal of the American Psychoanalytic Association,1133454,1975.0,51.245,-166.751,unlabeled,#D3D3D3
"Variability of the iron, copper and mercury contents of individual red blood cells.",The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,1133455,1975.0,-44.121,32.264,unlabeled,#D3D3D3
"Hypophysectomy of the tammar wallaby, Macropus eugenii: surgical approach and general effects.",The Journal of endocrinology,1133526,1975.0,-7.015,70.53,unlabeled,#D3D3D3
Influence of oestrogen on the initiation of nesting behaviour in female budgerigars.,The Journal of endocrinology,1133529,1975.0,-1.315,54.828,unlabeled,#D3D3D3
The role of short days in the termination of photorefractoriness in female canaries (Serinus canarius).,The Journal of endocrinology,1133534,1975.0,-4.195,44.546,unlabeled,#D3D3D3
Control of sebaceous gland function in the rat by alpha-melanocyte-stimulating hormone.,The Journal of endocrinology,1133539,1975.0,-6.928,67.101,unlabeled,#D3D3D3
Changes in the concentration of luteinizing hormone in plasma during development in the guinea-pig.,The Journal of endocrinology,1133540,1975.0,-0.648,61.14,unlabeled,#D3D3D3
"Binding and metabolism of 5alpha-androstane-3alpha, 17 beta-diol and of 5alpha-androstane-3beta, 17 beta-diol in the prostate, seminal vesicles and plasma of male rats: studies in vivo and in vitro.",The Journal of endocrinology,1133541,1975.0,-14.195,59.342,unlabeled,#D3D3D3
Changes in the concentration of pituitary and steroid hormones in the follicular fluid of human graafian follicles throughout the menstrual cycle.,The Journal of endocrinology,1133546,1975.0,-5.116,55.623,unlabeled,#D3D3D3
Effect of prolactin on sugar and amino acid transport by the rat jejunum.,The Journal of experimental zoology,1133566,1975.0,16.197,83.285,unlabeled,#D3D3D3
Fine structure of the zona pellucida of unfertilized egg cells and embryos.,The Journal of experimental zoology,1133567,1975.0,-17.226,49.015,unlabeled,#D3D3D3
Fertilizing ability of mouse sperm from different epididymal regions and after washing and centrifugation.,The Journal of experimental zoology,1133568,1975.0,-16.574,47.825,unlabeled,#D3D3D3
Elimination of 137-Cs and 59-Fe and its relationship to metabolic rates of wild small rodents.,The Journal of experimental zoology,1133569,1975.0,-28.187,4.092,unlabeled,#D3D3D3
Microfibrillar structures in the nucleus and cytoplasm of amoeba proteus.,The Journal of experimental zoology,1133571,1975.0,-128.507,103.446,unlabeled,#D3D3D3
Effect of UV on cleavage of Xenopus laevis.,The Journal of experimental zoology,1133572,1975.0,-76.586,81.864,unlabeled,#D3D3D3
